Visit Information for OP Package 2406406f01

VISIT ID       PCS MODE    VISIT TYPE                     SCHEDULED START TIME  DURATION     SCIENCE INSTRUMENT AND MODE                         TARGET NAME                      CATEGORY                        KEYWORDS                        
3533:3:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-09T02:59:58Z  00/08:40:34  MIRI Medium Resolution Spectroscopy                 IZW18N                           Stellar Cluster                 O clusters, Young star clusters
3533:4:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-09T11:41:57Z  00/08:40:34  MIRI Medium Resolution Spectroscopy                 IZW18S                           Stellar Cluster                 O clusters, Young star clusters
3983:12:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-09T21:02:41Z  00/01:57:48  MIRI Medium Resolution Spectroscopy                 CVSO-1772                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:13:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-09T23:10:38Z  00/01:57:48  MIRI Medium Resolution Spectroscopy                 CVSO-1842                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:14:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T01:19:11Z  00/01:02:12  MIRI Medium Resolution Spectroscopy                 CVSO-1886                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:11:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T02:36:38Z  00/01:02:12  MIRI Medium Resolution Spectroscopy                 CVSO-1739                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:15:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T03:58:56Z  00/00:42:48  MIRI Medium Resolution Spectroscopy                 CVSO-1928                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:10:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T05:00:55Z  00/00:42:48  MIRI Medium Resolution Spectroscopy                 CVSO-1711                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3702:3:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T06:20:57Z  00/01:40:05  MIRI Medium Resolution Spectroscopy                 ST6                              Star                            Young stellar objects
3702:4:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T08:08:47Z  00/01:40:05  MIRI Medium Resolution Spectroscopy                 ST6-SKY-MIRI                     Calibration                     Telescope/sky background
1586:4:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-10T10:25:28Z  00/02:24:09  MIRI Low Resolution Spectroscopy                    V-V821-ARA                       Star                            Black holes, X-ray binary stars
4506:161:1     FINEGUIDE   PRIME WFSC ROUTINE             2024-03-10T13:01:44Z  00/00:35:40  WFSC NIRCam Fine Phasing                            2MASS-16375700-4708194           Calibration                     Focus test
